id,name,city,city2,country,description,imageCredit,imageCreditLink,state,stateShort,nameEnglish,name2,city3,code
AUS,Austin–Bergstrom International Airport,Austin,,USA,"Once the location for Bergstrom Air Force Base (BSM), *Aus*tin-Bergstrom Airport opened in 1999 and took the airport code AUS from Mueller Airport which closed that same year.",Jon Collier,https://www.flickr.com/photos/imnotquitejack/,Texas,TX,,,,
AVL,Asheville Regional Airport,Asheville,,USA,"Opened in 1961, Asheville Regional is located near the town of Fletcher and serves the city of *A*she*v*il*l*e.",redlegsfan21,https://www.flickr.com/photos/redlegsfan21/,North Carolina,NC,,,,
AVP,Wilkes-Barre/Scranton International Airport,Avoca,Scranton,USA,"Granted “international” status in 1975, Wilkes-Barre/Scranton International serves the cities of Wilkes-Barre and Scranton, but is located in the city of *Av*oca, *P*ennsylvania.",Vasiliy Meshko,http://commons.wikimedia.org/wiki/File:KAVP_pano.jpg,Pennsylvania,PA,,,,
AWZ,Ahvaz International Airport,Ahvaz,Ahwaz,Iran,"Ahvaz International gets its three-letter code from its home in Ahvaz, alternately spelled *A*h*w*a*z*.",Wikimedia,http://commons.wikimedia.org/wiki/File:Ahwaz_International_Airport.jpg,,,,,,
AYP,Aeropuerto Coronel FAP Alfredo Mendívil Duarte,Ayacucho,,Peru,"Alfredo Mendívil Duarte Airport gets its three-letter airport code from its home in the city of *Ay*acucho, *P*eru.",Dave Thomas,https://www.flickr.com/photos/davidjthomas/,,,Coronel FAP Alfredo Mendívil Duarte Airport,,,
AYT,Antalya Havalimanı,Antalya,,Turkey,Antalya Airport primarily serves tourists visiting Turkey’s Mediterranean beaches. Its three-letter code is completed by rearranged letters from its home city of *A*n*t*al*y*a.,Cristian Bortes,https://www.flickr.com/photos/bortescristian/,,,,,,
AZA,Phoenix-Mesa Gateway Airport,Phoenix,Mesa,USA,"Formerly named after 1st Lt. Charles Williams of the U.S. Army Air Corps, Phoenix-Mesa Gateway is the lucky airport whose airport code honors its home state of *A*ri*z*on*a*.",David Crummey,https://www.flickr.com/photos/dcrummey/,Arizona,AZ,,,,
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,Battle Creek,USA,"The FCC restricted U.S. airport codes from beginning with the letters ‘W’ and ‘K’, reserving them for radio station designations. Kalamazoo/Battle Creek International opted, then, to use other letters from K*a*lama*zo*o.",not_Aaron,https://www.flickr.com/photos/mtmra70/,Michigan,MI,,,,
BAH,Bahrain International Airport,Muharraq,,Bahrain,"Located on Muharraq Island, Bahrain Airport became the first international airport in the Persian Gulf in 1932. It serves the entire country of *Bah*rain.",yosoynuts,https://www.flickr.com/photos/yosoynuts/,,,,,,
BAL,Batman Havaalanı,Batman,,Turkey,"Batman Airport is a civil-military airport serving the city of Batman in *Ba*tman i*l*i, Turkey.",Ümit Kılıç,https://www.flickr.com/photos/97094516@N05/,,,,,,
RNL,,,,,,,,,,,,,
EGM,,,,,,,,,,,,,
NNB,,,,,,,,,,,,,
RUS,,,,,,,,,,,,,
VAO,,,,,,,,,,,,,
